"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days","switch_w","potential","n.days"
3785.16666666667,"R3A",4,"A","F",578,"F578",0,1,1,0,1,0
3785.16666666667,"R3A",4,"A","F",583,"F583",0,1,1,0,1,0
3785.16666666667,"R3A",4,"A","F",589,"F589",0,1,1,0,1,0
3785.16666666667,"R3A",4,"A","M",539,"M539",0,1,1,0,1,0
3785.16666666667,"R3A",4,"A","M",573,"M573",0,1,1,0,1,0
3785.16666666667,"R3A",4,"A","M",593,"M593",0,1,1,0,1,0
3786.16666666667,"R18",2,"A","F",514,"F514",3,3,2,0,1,0
3786.16666666667,"R18",2,"A","F",519,"F519",3,3,2,0,1,0
3786.16666666667,"R18",2,"A","F",542,"F542",0,1,0,0,1,0
3786.16666666667,"R18",2,"A","M",689,"M689",3,3,2,0,1,0
3786.16666666667,"R3A",4,"A","F",571,"F571",3,3,2,0,1,0
3786.16666666667,"R3A",4,"A","F",572,"F572",0,1,1,0,1,0
3786.16666666667,"R3A",4,"A","F",578,"F578",0,1,2,0,1,0
3786.16666666667,"R3A",4,"A","F",583,"F583",0,1,2,0,1,0
3786.16666666667,"R3A",4,"A","M",539,"M539",0,1,2,0,1,0
3786.16666666667,"R3A",4,"A","M",573,"M573",0,1,2,0,1,0
3786.16666666667,"R3A",4,"A","M",593,"M593",0,1,2,0,1,0
3791.16666666667,"R10",1,"A","M",513,"M513",3,3,7,0,1,0
3791.16666666667,"R18",2,"A","F",514,"F514",0,1,5,0,1,0
3791.16666666667,"R18",2,"A","F",519,"F519",0,1,5,0,1,0
3791.16666666667,"R18",2,"A","M",689,"M689",0,1,5,0,1,0
3791.16666666667,"R3A",4,"A","F",570,"F570",3,3,7,0,1,0
3791.16666666667,"R3A",4,"A","F",572,"F572",0,1,6,0,1,0
3791.16666666667,"R3A",4,"A","F",578,"F578",0,1,7,0,1,0
3791.16666666667,"R3A",4,"A","F",583,"F583",0,1,7,0,1,0
3791.16666666667,"R3A",4,"A","M",539,"M539",0,1,7,0,1,0
3791.16666666667,"R3A",4,"A","M",573,"M573",0,1,7,0,1,0
3791.16666666667,"R3A",4,"A","M",593,"M593",0,1,7,0,1,0
3791.16666666667,"R48",9,"A","M",568,"M568",3,3,11,0,1,0
3791.16666666667,"R48",9,"A","M",631,"M631",0,1,0,0,1,0
3791.16666666667,"RCA",11,"A","M",530,"M530",3,3,7,0,1,0
3792.16666666667,"R18",2,"A","F",514,"F514",0,1,6,0,1,0
3792.16666666667,"R18",2,"A","M",689,"M689",0,1,6,0,1,0
3792.16666666667,"R3A",4,"A","F",570,"F570",0,1,1,0,1,0
3792.16666666667,"R3A",4,"A","F",572,"F572",0,1,7,0,1,0
3792.16666666667,"R3A",4,"A","F",578,"F578",0,1,8,0,1,0
3792.16666666667,"R3A",4,"A","F",583,"F583",0,1,8,0,1,0
3792.16666666667,"R3A",4,"A","M",539,"M539",0,1,8,0,1,0
3792.16666666667,"R3A",4,"A","M",573,"M573",0,1,8,0,1,0
3792.16666666667,"R3A",4,"A","M",593,"M593",0,1,8,0,1,0
3796.16666666667,"R18",2,"A","F",514,"F514",1,2,10,0,1,0
3796.16666666667,"R18",2,"A","M",689,"M689",1,2,10,0,1,0
3796.16666666667,"R48",9,"A","M",568,"M568",3,3,5,0,1,0
3796.16666666667,"R48",9,"A","M",631,"M631",3,3,5,0,1,0
3797.16666666667,"R18",2,"A","F",512,"F512",0,1,0,0,1,0
3797.16666666667,"R18",2,"A","F",514,"F514",0,1,1,0,1,0
3797.16666666667,"R18",2,"A","F",516,"F516",0,1,0,0,1,0
3797.16666666667,"R18",2,"A","F",517,"F517",0,1,0,0,1,0
3797.16666666667,"R18",2,"A","F",518,"F518",0,1,0,0,1,0
3797.16666666667,"R18",2,"A","F",519,"F519",3,3,11,0,1,0
3797.16666666667,"R18",2,"A","M",513,"M513",1,3,6,0,1,0
3797.16666666667,"R18",2,"A","M",520,"M520",0,1,0,0,1,0
3798.16666666667,"R10",1,"A","M",513,"M513",1,1,1,0,1,0
3798.16666666667,"R18",2,"A","F",514,"F514",0,1,2,0,1,0
3798.16666666667,"R18",2,"A","F",516,"F516",0,1,1,0,1,0
3798.16666666667,"R18",2,"A","F",517,"F517",0,1,1,0,1,0
3798.16666666667,"R18",2,"A","F",542,"F542",3,3,12,0,1,0
3798.16666666667,"R18",2,"A","M",689,"M689",3,3,2,0,1,0
3798.16666666667,"R3A",4,"A","F",570,"F570",3,3,7,0,1,0
3798.16666666667,"R3A",4,"A","F",571,"F571",3,3,12,0,1,0
3798.16666666667,"R3A",4,"A","F",572,"F572",3,3,13,0,1,0
3798.16666666667,"R3A",4,"A","F",578,"F578",3,3,14,0,1,0
3798.16666666667,"R3A",4,"A","F",583,"F583",3,3,14,0,1,0
3798.16666666667,"R3A",4,"A","M",539,"M539",3,3,14,0,1,0
3798.16666666667,"R3A",4,"A","M",573,"M573",3,3,14,0,1,0
3798.16666666667,"R3A",4,"A","M",593,"M593",3,3,14,0,1,0
3798.16666666667,"R48",9,"A","M",568,"M568",3,3,2,0,1,0
3798.16666666667,"R48",9,"A","M",631,"M631",3,3,2,0,1,0
3798.16666666667,"RCA",11,"A","F",524,"F524",0,1,0,0,1,0
3798.16666666667,"RCA",11,"A","M",523,"M523",0,1,0,0,1,0
3798.16666666667,"RCA",11,"A","M",530,"M530",3,3,7,0,1,0
3799.16666666667,"R3A",4,"A","F",570,"F570",0,1,1,0,1,0
3799.16666666667,"R3A",4,"A","F",578,"F578",0,1,1,0,1,0
3799.16666666667,"R3A",4,"A","F",583,"F583",0,1,1,0,1,0
3799.16666666667,"R3A",4,"A","M",539,"M539",0,1,1,0,1,0
3799.16666666667,"R3A",4,"A","M",573,"M573",0,1,1,0,1,0
3799.16666666667,"R3A",4,"A","M",593,"M593",0,1,1,0,1,0
3800.16666666667,"R18",2,"A","F",512,"F512",3,3,3,0,1,0
3800.16666666667,"R18",2,"A","F",514,"F514",3,3,4,0,1,0
3800.16666666667,"R18",2,"A","M",689,"M689",3,3,2,0,1,0
3801.16666666667,"R3A",4,"A","F",517,"F517",1,3,4,0,1,0
3801.16666666667,"R3A",4,"A","F",538,"F538",0,1,0,0,1,0
3801.16666666667,"R3A",4,"A","F",540,"F540",0,1,0,0,1,0
3801.16666666667,"R3A",4,"A","M",533,"M533",0,1,0,0,1,0
3801.16666666667,"R3A",4,"A","M",539,"M539",3,3,3,0,1,0
3801.16666666667,"R3A",4,"A","M",573,"M573",3,3,3,0,1,0
3802.16666666667,"R10",1,"A","F",519,"F519",1,3,5,0,1,0
3802.16666666667,"R10",1,"A","M",513,"M513",3,3,4,0,1,0
3802.16666666667,"R3A",4,"A","M",533,"M533",0,1,1,0,1,0
3802.16666666667,"R3A",4,"A","M",539,"M539",0,1,1,0,1,0
3802.16666666667,"R3A",4,"A","M",593,"M593",3,3,4,0,1,0
3802.16666666667,"R48",9,"A","F",514,"F514",1,3,2,0,1,0
3802.16666666667,"R48",9,"A","F",516,"F516",1,3,5,0,1,0
3802.16666666667,"R48",9,"A","F",518,"F518",1,3,5,0,1,0
3802.16666666667,"R48",9,"A","F",542,"F542",1,3,4,0,1,0
