"","scale.rs.","scale.cs.","scale.ps."
"X1",0.0507231688213476,0.018489833195942,0.053910889535263
"X2",0.0385157020797181,0.0246666031152272,0.0391215082032972
"X3",0.0299396894528062,0.0129677651271788,0.0284015455200774
"X4",0.0401863650813147,0.00959508876877254,0.0347100834590111
"X5",0.0355373263220615,0.0144123225219147,0.0465235058751896
"X6",0.0305997455586907,0.00418196427346322,0.043149155975887
"X7",0.0325850323174898,0.0108495934528998,0.0422791809431801
"X8",0.0326511547609029,0.014879994557705,0.0326460749144058
"X9",0.0284282969380201,0.012628399403662,0.0407070300587727
"X10",0.0381304031796238,0.0221593138791569,0.0375637442862428
"X11",0.0315449265238664,0.0102350350839239,0.0464969349415292
"X12",0.0230893793395594,0.0118340994661011,0.0368122554149909
"X13",0.0327309289616269,0.0229474576349136,0.033382243947354
"X14",0.0313324524429071,0.00225177597632675,0.0550663307855494
"X15",0.0487765993045455,0.0104873359591437,0.024049195733428
"X16",0.0318249826882163,0.0129697244607934,0.044516637188976
"X17",0.0479883971860637,0.0196923120290418,0.0499322677081053
"X18",0.0373600351028854,0.00978838953117502,0.0317350566482923
"X19",0.0362261994425888,0.0126612905984945,0.0360778867926338
"X20",0.0321433750806155,0.0264766814509173,0.048125922245953
"X21",0.0393479476819248,0.00683428447016821,0.0552439511825433
"X22",0.0354384941739208,0.0240161568909704,0.020990583616285
"X23",0.0459643467153839,0.0136337180122165,0.0435280601669615
"X24",0.0334927679098387,0.00515201783488098,0.0460915670412414
"X25",0.0473269660955806,0.0117303751257733,0.0500055535047392
"X26",0.0352964249694428,0.0200858730948909,0.0422798521069198
"X27",0.0477886990131259,0.019534325669262,0.0505277654462876
"X28",0.0357843795835777,0.0105928827224407,0.0490296631908049
"X29",0.0487302496184498,0.00525655810498062,0.0414569314296738
"X30",0.0484055908429278,0.0174505775910919,0.0464490397044756
"X31",0.0417020843811604,0.0197058586096313,0.0496320063756197
"X32",0.025021534418901,0.0176493705216814,0.0396891576740159
"X33",0.0395463948950788,0.0287795478317971,0.0460130794178717
"X34",0.0389538276911358,0.0041271172393566,0.0376753006171692
"X35",0.0345069451350384,-0.000896865867354205,0.0584146889908904
"X36",0.0410753382885988,0.0060429647245569,0.0354525088940975
"X37",0.0400965024844001,0.0117018895335367,0.0483777120359982
"X38",0.0404675401196923,0.0107614140941187,0.0417713616765576
"X39",0.0550765980386749,0.0169986302610812,0.0419585922999052
"X40",0.0549200766752404,0.00982056743021062,0.0342043077561773
"X41",0.0496254141783245,0.0169878736114932,0.042167373941286
"X42",0.0379203554793223,0.0171564750917161,0.039305659134682
"X43",0.0433097944528248,0.00794259080876345,0.0291591589381213
"X44",0.0494738950228294,0.0145255510735369,0.0441966258605677
"X45",0.0473297482575433,0.0106173494009942,0.0477070739091279
"X46",0.0469643053829321,0.016164990997915,0.0254399415638726
"X47",0.0331195032312352,0.00753482106912701,0.0424850794985778
"X48",0.0420807434496186,0.024624998076213,0.033785055823177
"X49",0.0376975255011931,0.0256917177802337,0.0342212277175322
"X50",0.0390238499885094,0.0127620039311298,0.0396175419942521
