"","bat","n","cs","ps","ps2"
"1","ad",8,0.0328988206083178,0.151515151515152,0.0501792114695341
"2","add",23,0.0204841713221601,0.720767888307155,0.726424763719709
"3","addld",19,0.068901303538175,0.489655172413793,0.54026284348865
"4","addldd",27,0.0558659217877095,0.676439790575916,0.661003227848758
"5","adld",27,0.0670391061452514,0.753505535055351,0.758197745606053
"6","adldd",23,0.0217256362507759,0.689458689458689,0.593257223589463
"7","ald",6,0.0403476101800124,0.0447284345047923,0.0159817351598174
"8","aldd",5,0.031657355679702,0.104761904761905,0.036036036036036
"9","alexei",1,0,0,0.72203577458042
"10","ax",28,0.0540037243947858,0.69640234948605,0.724030191739378
"11","bd",26,0.0496585971446307,0.713094654242276,0.721330845771144
"12","bdlx",26,0.0248292985723153,0.762420957542909,0.681821794734398
"13","bes",25,0.0422098075729361,0.714491708723864,0.823242630385488
"14","bey",24,0.0198634388578523,0.720053835800808,0.740682414698163
"15","blx",19,0.0484171322160149,0.626903553299492,0.800131410363109
"16","bs",27,0.042830540037244,0.799901185770751,0.745352327472233
"17","bscs",26,0.0353817504655493,0.749498997995992,0.768698444333721
"18","bxdlx",19,0.042830540037244,0.767578125,0.511938997821351
"19","bxx",20,0.0657976412166356,0.524175824175824,0.641450216450216
"20","cdw",23,0.0490378646803228,0.651960784313726,0.720110207671459
"21","cfd",22,0.0564866542520174,0.659327925840093,0.66821410925949
"22","cldw",24,0.0912476722532588,0.726427622841965,0.761590863554398
"23","clw",26,0.0918684047175667,0.788647342995169,0.4000743059508
"24","clwd",23,0.0626939788950962,0.447322970639033,0.670904589363246
"25","cnone",22,0.0626939788950962,0.693152454780362,0.5
"26","cwd",3,0.00682805710738672,0.375,0.684027777777778
"27","cww",21,0.0248292985723153,0.715481171548117,0.368421052631579
"28","noa",1,0,0,NA
"29","pup",7,0.0142768466790813,0.362068965517241,NA
