"","bats","centrality","roost_switch"
"2","F570",12,0.75
"3","F571",18,0.755725190839695
"4","F572",10,0.771604938271605
"5","F577",13,0.75177304964539
"6","F578",13,0.753731343283582
"7","F583",13,0.716577540106952
"8","F589",12,0.801724137931034
"9","F599",8,0.745454545454545
"10","F765",12,0.794520547945205
"11","F766",12,0.847826086956522
"12","F788",15,0.740384615384615
"16","F960",13,0.735294117647059
"17","F961",4,0.766666666666667
"18","F963",5,0.719298245614035
