"","soc_diff","Observations[Observations > 25]"
"1",1.6267034812684,42
"2",1.1663598644641,118
"3",1.31250654984083,107
"4",1.06877217279108,86
"5",1.30368852716209,69
"6",1.0623339849878,99
"7",1.54606561469098,36
"8",0.971719838965804,57
"9",1.34064817597456,63
"10",1.46783911147496,50
"11",1.51959956328673,94
"12",1.19411321422573,89
"13",2.08027718356618,96
"14",1.53699634075888,91
"15",1.60051711918876,115
"16",2.05792583090157,98
"17",1.62620254971098,91
"18",1.60655893082467,128
"19",1.50163084891885,28
"20",1.66108728226078,87
"21",1.25937782622721,63
"22",1.39401098175373,92
"23",2.04240165984794,76
"24",1.47917446197734,66
"25",1.34101439993196,88
"26",1.5420357044023,53
"27",1.36438069114721,76
"28",1.30185174774794,41
"29",1.55507315225645,61
"30",1.91882397713261,53
"31",1.93615235571178,38
"32",1.59656992773225,42
"33",1.41672240050562,64
"34",1.80072099456956,75
"35",1.30071127904902,36
"36",1.78401309123452,33
"37",1.81696331335958,57
"38",1.78244982188037,39
"39",1.90810266024187,30
"40",1.9017007888608,36
"41",1.96287571084626,44
"42",2.06336778235796,40
"43",2.00091506846096,39
"44",1.49715397591498,84
"45",1.60393020856192,42
"46",1.39010452948602,148
"47",1.67791873519442,80
"48",2.52715290177682,73
"49",2.32853628808319,100
"50",1.63217711233625,31
"51",1.76405040952895,106
"52",1.46154327617695,102
"53",1.6569435224677,74
"54",1.28516643014348,177
"55",1.96170913269996,89
"56",3.02704336186028,39
"57",1.75369387411077,89
"58",2.52195898164612,47
"59",2.81089035759833,51
"60",2.53371487250211,46
"61",2.35791178577529,27
"62",1.7208602245926,79
"63",1.28388611863185,105
"64",1.40450908458742,150
"65",1.32237475146773,41
"66",3.10413445085889,27
"67",3.14881160598581,35
"68",1.88506289949889,90
"69",1.76542294665774,56
"70",3.31100383554614,60
"71",2.7426020791457,35
"72",1.79070920417101,88
"73",1.79166346525154,32
"74",7.64414403901054,39
"75",1.94499916222643,73
"76",1.75159667199378,45
"77",4.1034004226336,35
"78",1.40215304088586,47
"79",1.88510164726166,30
"80",2.25690176009432,49
"81",1.98116335212745,69
