"","roost_sw","Bats_w"
"1",0.8,"F512"
"2",0.822368421052632,"F514"
"3",0.823529411764706,"F516"
"4",0.855769230769231,"F517"
"5",0.862068965517241,"F518"
"6",0.858333333333333,"F519"
"7",0.857142857142857,"F524"
"8",0.815789473684211,"F538"
"9",0.807228915662651,"F540"
"10",0.803030303030303,"F542"
"11",0.80327868852459,"F544"
"12",0.807017543859649,"F567"
"13",0.75,"F570"
"14",0.755725190839695,"F571"
"15",0.771604938271605,"F572"
"16",0.75177304964539,"F577"
"17",0.753731343283582,"F578"
"18",0.716577540106952,"F583"
"19",0.875,"F588"
"20",0.801724137931034,"F589"
"21",0.917808219178082,"F592"
"22",0.834782608695652,"F596"
"23",0.745454545454545,"F599"
"24",0.860759493670886,"F621"
"25",0.827272727272727,"F622"
"26",0.830769230769231,"F627"
"27",0.844444444444444,"F628"
"28",0.91304347826087,"F694"
"29",0.861111111111111,"F762"
"30",0.794520547945205,"F765"
"31",0.847826086956522,"F766"
"32",0.9375,"F769"
"33",0.8125,"F773"
"34",0.740384615384615,"F788"
"35",0.808510638297872,"F789"
"36",0.916666666666667,"F806"
"37",0.805555555555556,"F835"
"38",0.895833333333333,"F839"
"39",0.909090909090909,"F880"
"40",0.804347826086957,"F926"
"41",0.735294117647059,"F960"
"42",0.766666666666667,"F961"
"43",0.719298245614035,"F963"
"44",0.916666666666667,"M513"
"45",0.84,"M520"
"46",0.729064039408867,"M523"
"47",0.75,"M530"
"48",0.648648648648649,"M533"
"49",0.677852348993289,"M539"
"50",0.780487804878049,"M543"
"51",0.829457364341085,"M566"
"52",0.807692307692308,"M568"
"53",0.808510638297872,"M569"
"54",0.716599190283401,"M573"
"55",0.717741935483871,"M574"
"56",0.82,"M580"
"57",0.729508196721312,"M581"
"58",0.732394366197183,"M582"
"59",0.919354838709677,"M584"
"60",0.695652173913043,"M591"
"61",0.75,"M593"
"62",0.79,"M595"
"63",0.732876712328767,"M598"
"64",0.717703349282297,"M623"
"65",0.836734693877551,"M629"
"66",0.75,"M631"
"67",0.897435897435897,"M689"
"68",0.693430656934307,"M791"
"69",0.763157894736842,"M793"
"70",0.857142857142857,"M794"
"71",0.897435897435897,"M797"
"72",0.758620689655172,"M801"
"73",0.96969696969697,"M803"
"74",0.930232558139535,"M830"
"75",0.735849056603774,"M838"
"76",0.882352941176471,"M841"
"77",0.863636363636364,"M842"
"78",0.92156862745098,"M877"
"79",0.789473684210526,"M917"
"80",0.708333333333333,"M979"
"81",0.75,"M984"
