"obs","date","hour","period","cage","video","camera","scorer","is.fasting.trial","fasted.bats","actor","receiver","behav","h.start","min.start","sec.start","h.end","min.end","sec.end","duration","notes","switch","latency"
"2019.06.23_0100 cnone_cdw g",2019-06-23,"0100",1561266835,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cdw","g",1,13,55,1,14,18,23,NA,0,0
"2019.06.23_0100 cdw_cnone g",2019-06-23,"0100",1561266842,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cdw","cnone","g",1,14,2,1,14,16,14,NA,0,0
"2019.06.23_0100 cnone_cdw g",2019-06-23,"0100",1561266865,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cdw","g",1,14,25,1,15,30,65,NA,0,0.5
"2019.06.23_0100 cnone_cdw g",2019-06-23,"0100",1561266937,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cdw","g",1,15,37,1,18,27,170,"possible mouthlicking, obscured by wing (I don't think there's mouthlicking - imran)",0,1.7
"2019.06.23_0100 cdw_cnone g",2019-06-23,"0100",1561266948,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cdw","cnone","g",1,15,48,1,18,31,163,"possible mouthlicking, obscured by wing",0,1.76666666666667
"2019.06.23_0100 cldw_cnone g",2019-06-23,"0100",1561267139,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cldw","cnone","g",1,18,59,1,21,28,149,NA,0,0
"2019.06.23_0100 cnone_cldw g",2019-06-23,"0100",1561267140,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cldw","g",1,19,0,1,21,28,148,NA,1,5.08333333333333
"2019.06.23_0100 cldw_cnone g",2019-06-23,"0100",1561267311,"big_cage","CH03_2019-06-23_01_19_27__01_27_49",3,"david",FALSE,"none","cldw","cnone","g",1,21,51,1,28,15,384,"long event with pauses, >5sec",0,2.86666666666667
"2019.06.23_0100 cnone_cldw g",2019-06-23,"0100",1561267311,"big_cage","CH03_2019-06-23_01_19_27__01_27_49",3,"david",FALSE,"none","cnone","cldw","g",1,21,51,1,28,15,384,"long event with pauses, >5sec",0,2.85
"2019.06.23_0300 add_cnone g",2019-06-23,"0300",1561273674,"big_cage","CH03_2019-06-23_02_59_59__03_01_19.mp4",3,"imran",FALSE,"none","add","cnone","g",3,7,54,3,8,36,42,NA,0,0
"2019.06.23_0300 cnone_add g",2019-06-23,"0300",1561273675,"big_cage","CH03_2019-06-23_03_01_19__03_09_42.mp4",3,"imran",FALSE,"none","cnone","add","g",3,7,55,3,8,22,27,NA,1,108.916666666667
"2019.06.23_0500 clw_cnone g",2019-06-23,"0500",1561280747,"big_cage","CH03_2019-06-23_04_59_59_05_08_18",3,"bridget",FALSE,"none","clw","cnone","g",5,5,47,5,6,23,36,NA,0,0
"2019.06.23_0500 cnone_clw g",2019-06-23,"0500",1561280750,"big_cage","CH03_2019-06-23_04_59_59_05_08_18",3,"bridget",FALSE,"none","cnone","clw","g",5,5,50,5,6,39,49,NA,1,117.916666666667
"2019.06.23_0500 add_clw g",2019-06-23,"0500",1561280850,"big_cage","CH03_2019-06-23_04_59_59_05_08_18",3,"bridget",FALSE,"none","add","clw","g",5,7,30,5,7,52,22,NA,1,119.6
"2019.06.23_0500 clw_add g",2019-06-23,"0500",1561280858,"big_cage","CH03_2019-06-23_04_59_59_05_08_18",3,"bridget",FALSE,"none","clw","add","g",5,7,38,5,7,52,14,NA,1,1.85
"2019.06.23_0500 cnone_add g",2019-06-23,"0500",1561281036,"big_cage","CH03_2019-06-23_05_08_18_05_16_40",3,"bridget",FALSE,"none","cnone","add","g",5,10,36,5,10,41,5,NA,1,4.76666666666667
"2019.06.23_0500 cnone_clw g",2019-06-23,"0500",1561281328,"big_cage","CH03_2019-06-23_05_08_18_05_16_40",3,"bridget",FALSE,"none","cnone","clw","g",5,15,28,5,16,10,42,NA,1,4.86666666666667
"2019.06.23_0500 clw_cnone g",2019-06-23,"0500",1561281330,"big_cage","CH03_2019-06-23_05_08_18_05_16_40",3,"bridget",FALSE,"none","clw","cnone","g",5,15,30,5,16,10,40,NA,1,7.86666666666667
"2019.06.23_0500 bxdlx_add g",2019-06-23,"0500",1561281412,"big_cage","CH03_2019-06-23_05_08_18_05_16_40",3,"bridget",FALSE,"none","bxdlx","add","g",5,16,52,5,16,58,6,NA,0,0
"2019.06.23_0500 clw_cwd g",2019-06-23,"0500",1561281433,"big_cage","CH03_2019-06-23_05_08_18_05_16_40",3,"bridget",FALSE,"none","clw","cwd","g",5,17,13,5,17,31,18,NA,1,1.71666666666667
"2019.06.23_0900 ax_adld g",2019-06-23,"0900",1561295639,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","adld","g",9,13,59,9,14,6,7,"kelly reciprocated <5 s",0,0
"2019.06.23_0900 adld_ax g",2019-06-23,"0900",1561295656,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","ax","g",9,14,16,9,14,28,12,NA,0,0
"2019.06.23_0900 ax_adld g",2019-06-23,"0900",1561295656,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","adld","g",9,14,16,9,14,28,12,NA,0,0.283333333333333
"2019.06.23_0900 ax_adld g",2019-06-23,"0900",1561295697,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","adld","g",9,14,57,9,15,51,54,NA,0,0.966666666666667
"2019.06.23_0900 adld_ax g",2019-06-23,"0900",1561295697,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","ax","g",9,14,57,9,15,29,32,NA,0,0.683333333333333
"2019.06.23_0900 adld_adldd g",2019-06-23,"0900",1561295730,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","adldd","g",9,15,30,9,15,54,24,NA,1,1.23333333333333
"2019.06.23_0900 adld_add g",2019-06-23,"0900",1561295784,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","add","g",9,16,24,9,16,29,5,"lilith reciprocated <5s",1,0.9
"2019.06.23_0900 adld_add g",2019-06-23,"0900",1561295796,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","add","g",9,16,36,9,16,41,5,NA,0,0.2
"2019.06.23_0900 add_adld g",2019-06-23,"0900",1561295797,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","add","adld","g",9,16,37,9,17,16,39,NA,1,249.116666666667
"2019.06.23_0900 adld_cdw g",2019-06-23,"0900",1561295803,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","cdw","g",9,16,43,9,16,49,6,NA,1,0.316666666666667
"2019.06.23_0900 cdw_adld g",2019-06-23,"0900",1561295804,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","cdw","adld","g",9,16,44,9,16,49,5,NA,1,482.7
"2019.06.23_0900 adld_add g",2019-06-23,"0900",1561295823,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","add","g",9,17,3,9,17,17,14,NA,1,0.333333333333333
"2019.06.23_0900 ax_add g",2019-06-23,"0900",1561295845,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","add","g",9,17,25,9,17,56,31,NA,1,3.43333333333333
"2019.06.23_0900 add_ax g",2019-06-23,"0900",1561295849,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","add","ax","g",9,17,29,9,17,56,27,NA,1,0.866666666666667
"2019.06.23_0900 add_ax g",2019-06-23,"0900",1561295890,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","add","ax","g",9,18,10,9,19,20,70,NA,0,0.683333333333333
"2019.06.23_0900 ax_add g",2019-06-23,"0900",1561295890,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","add","g",9,18,10,9,19,20,70,NA,0,0.75
"2019.06.23_0900 adld_cdw g",2019-06-23,"0900",1561295922,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","cdw","g",9,18,42,9,19,20,38,NA,1,1.65
"2019.06.23_0900 cdw_adld g",2019-06-23,"0900",1561295924,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","cdw","adld","g",9,18,44,9,19,21,37,NA,0,2
"2019.06.23_0900 ax_adld g",2019-06-23,"0900",1561295990,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","adld","g",9,19,50,9,21,56,126,NA,1,2.41666666666667
"2019.06.23_0900 adld_ax g",2019-06-23,"0900",1561295990,"big_cage","CH02_2019-06-23_09_13_22__09_21_44.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","ax","g",9,19,50,9,22,2,132,NA,1,1.13333333333333
"2019.06.23_0900 add_adld g",2019-06-23,"0900",1561296138,"big_cage","CH02_2019-06-23_09_21_44__09_30_06.mp4",2,"imran",TRUE,"adld, bxx, cww","add","adld","g",9,22,18,9,22,36,18,NA,1,4.81666666666667
"2019.06.23_0900 adld_add g",2019-06-23,"0900",1561296138,"big_cage","CH02_2019-06-23_09_21_44__09_30_06.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","add","g",9,22,18,9,22,36,18,NA,1,2.46666666666667
"2019.06.23_0900 cdw_add g",2019-06-23,"0900",1561296381,"big_cage","CH02_2019-06-23_09_21_44__09_30_06.mp4",2,"imran",TRUE,"adld, bxx, cww","cdw","add","g",9,26,21,9,26,27,6,NA,1,9.61666666666667
"2019.06.23_0900 add_cdw g",2019-06-23,"0900",1561296381,"big_cage","CH02_2019-06-23_09_21_44__09_30_06.mp4",2,"imran",TRUE,"adld, bxx, cww","add","cdw","g",9,26,21,9,26,27,6,NA,1,4.05
"2019.06.23_0900 bs_ax g",2019-06-23,"0900",1561296775,"big_cage","CH02_2019-06-23_09_30_06__09_38_29.mp4",2,"imran",TRUE,"adld, bxx, cww","bs","ax","g",9,32,55,9,33,14,19,NA,0,0
"2019.06.23_0900 ax_bs g",2019-06-23,"0900",1561296776,"big_cage","CH02_2019-06-23_09_30_06__09_38_29.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","bs","g",9,32,56,9,33,14,18,NA,1,13.1
"2019.06.23_0900 bs_add g",2019-06-23,"0900",1561296798,"big_cage","CH02_2019-06-23_09_30_06__09_38_29.mp4",2,"imran",TRUE,"adld, bxx, cww","bs","add","g",9,33,18,9,33,30,12,NA,1,0.383333333333333
"2019.06.23_0900 bs_ax g",2019-06-23,"0900",1561296813,"big_cage","CH02_2019-06-23_09_30_06__09_38_29.mp4",2,"imran",TRUE,"adld, bxx, cww","bs","ax","g",9,33,33,9,34,59,86,NA,1,0.25
"2019.06.23_0900 ax_bs g",2019-06-23,"0900",1561296813,"big_cage","CH02_2019-06-23_09_30_06__09_38_29.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","bs","g",9,33,33,9,34,58,85,NA,0,0.616666666666667
"2019.06.23_0900 bs_ax g",2019-06-23,"0900",1561296905,"big_cage","CH02_2019-06-23_09_30_06__09_38_29.mp4",2,"imran",TRUE,"adld, bxx, cww","bs","ax","g",9,35,5,9,35,50,45,NA,0,1.53333333333333
"2019.06.23_0900 ax_bs g",2019-06-23,"0900",1561296905,"big_cage","CH02_2019-06-23_09_30_06__09_38_29.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","bs","g",9,35,5,9,35,48,43,NA,0,2.15
"2019.06.23_0900 adld_bes g",2019-06-23,"0900",1561297131,"big_cage","CH02_2019-06-23_09_38_29__09_46_51.mp4",2,"imran",TRUE,"adld, bxx, cww","adld","bes","g",9,38,51,9,38,58,7,NA,1,16.55
"2019.06.23_0900 bes_adld g",2019-06-23,"0900",1561297131,"big_cage","CH02_2019-06-23_09_38_29__09_46_51.mp4",2,"imran",TRUE,"adld, bxx, cww","bes","adld","g",9,38,51,9,38,58,7,NA,0,0
"2019.06.23_0900 add_cdw g",2019-06-23,"0900",1561297140,"big_cage","CH02_2019-06-23_09_38_29__09_46_51.mp4",2,"imran",TRUE,"adld, bxx, cww","add","cdw","g",9,39,0,9,39,7,7,NA,0,12.65
"2019.06.23_0900 cdw_add g",2019-06-23,"0900",1561297140,"big_cage","CH02_2019-06-23_09_38_29__09_46_51.mp4",2,"imran",TRUE,"adld, bxx, cww","cdw","add","g",9,39,0,9,39,7,7,NA,0,12.65
"2019.06.23_0900 bes_cdw g",2019-06-23,"0900",1561297164,"big_cage","CH02_2019-06-23_09_38_29__09_46_51.mp4",2,"imran",TRUE,"adld, bxx, cww","bes","cdw","g",9,39,24,9,39,31,7,NA,1,0.55
"2019.06.23_0900 cdw_bes g",2019-06-23,"0900",1561297164,"big_cage","CH02_2019-06-23_09_38_29__09_46_51.mp4",2,"imran",TRUE,"adld, bxx, cww","cdw","bes","g",9,39,24,9,39,31,7,NA,1,13.05
"2019.06.23_0900 clw_cldw g",2019-06-23,"0900",1561297432,"big_cage","CH03_2019-06-23_09_38_58__09_47_21.mp4",3,"imran",TRUE,"adld, bxx, cww","clw","cldw","g",9,43,52,9,46,6,134,NA,1,266.65
"2019.06.23_0900 cldw_clw g",2019-06-23,"0900",1561297433,"big_cage","CH03_2019-06-23_09_38_58__09_47_21.mp4",3,"imran",TRUE,"adld, bxx, cww","cldw","clw","g",9,43,53,9,46,6,133,NA,1,504.9
"2019.06.23_0900 cnone_clw g",2019-06-23,"0900",1561297580,"big_cage","CH03_2019-06-23_09_47_21__09_55_43.mp4",3,"imran",TRUE,"adld, bxx, cww","cnone","clw","g",9,46,20,9,47,35,75,NA,0,270.866666666667
"2019.06.23_0900 clw_cnone g",2019-06-23,"0900",1561297580,"big_cage","CH03_2019-06-23_09_47_21__09_55_43.mp4",3,"imran",TRUE,"adld, bxx, cww","clw","cnone","g",9,46,20,9,47,35,75,NA,1,2.46666666666667
"2019.06.23_0900 cnone_clw g",2019-06-23,"0900",1561297665,"big_cage","CH03_2019-06-23_09_47_21__09_55_43.mp4",3,"imran",TRUE,"adld, bxx, cww","cnone","clw","g",9,47,45,9,53,13,328,NA,0,272.283333333333
"2019.06.23_0900 clw_cnone g",2019-06-23,"0900",1561297665,"big_cage","CH03_2019-06-23_09_47_21__09_55_43.mp4",3,"imran",TRUE,"adld, bxx, cww","clw","cnone","g",9,47,45,9,53,14,329,NA,0,1.41666666666667
"2019.06.23_0900 add_ax g",2019-06-23,"0900",1561297874,"big_cage","CH02_2019-06-23_09_46_51__09_55_13.mp4",2,"imran",TRUE,"adld, bxx, cww","add","ax","g",9,51,14,9,51,45,31,NA,1,24.8833333333333
"2019.06.23_0900 ax_add g",2019-06-23,"0900",1561297874,"big_cage","CH02_2019-06-23_09_46_51__09_55_13.mp4",2,"imran",TRUE,"adld, bxx, cww","ax","add","g",9,51,14,9,51,45,31,NA,1,18.3
"2019.06.23_1000 addldd_ax g",2019-06-23,"1000",1561301604,"big_cage","CH02_2019-06-23_10_45_27_10_53_50",2,"cynthia",FALSE,"none","addldd","ax","g",10,53,24,10,53,29,5,NA,0,0
"2019.06.23_1000 ax_addldd g",2019-06-23,"1000",1561301606,"big_cage","CH02_2019-06-23_10_45_27_10_53_50",2,"cynthia",FALSE,"none","ax","addldd","g",10,53,26,10,53,35,9,NA,1,62.2
"2019.06.23_1000 addldd_ax g",2019-06-23,"1000",1561301611,"big_cage","CH02_2019-06-23_10_45_27_10_53_50",2,"cynthia",FALSE,"none","addldd","ax","g",10,53,31,10,53,36,5,NA,0,0.116666666666667
"2019.06.23_1100 clw_adldd g",2019-06-23,"1100",1561305188,"big_cage","CH01_2019-06-23_11_52_52__11_59_59",1,"dineilys",FALSE,"none","clw","adldd","g",11,53,8,11,53,56,48,NA,1,126.8
"2019.06.23_1100 adldd_clw g",2019-06-23,"1100",1561305188,"big_cage","CH01_2019-06-23_11_52_52__11_59_60",1,"dineilys",FALSE,"none","adldd","clw","g",11,53,8,11,53,56,48,NA,0,0
"2019.06.23_1100 aldd_bdlx g",2019-06-23,"1100",1561305249,"big_cage","CH01_2019-06-23_11_52_52__11_59_61",1,"dineilys",FALSE,"none","aldd","bdlx","g",11,54,9,11,54,27,18,NA,0,0
"2019.06.23_1100 add_adldd g",2019-06-23,"1100",1561305289,"big_cage","CH01_2019-06-23_11_52_52__11_59_62",1,"dineilys",FALSE,"none","add","adldd","g",11,54,49,11,55,4,15,NA,1,123.583333333333
"2019.06.23_1100 add_adldd g",2019-06-23,"1100",1561305310,"big_cage","CH01_2019-06-23_11_52_52__11_59_63",1,"dineilys",FALSE,"none","add","adldd","g",11,55,10,11,57,5,115,NA,0,0.35
"2019.06.24_0300 bes_blx g",2019-06-24,"0300",1561360098,"big_cage","CH02_2019-06-24_03_07_46_03_16_08",2,"bridget",FALSE,"none","bes","blx","g",3,8,18,3,8,36,18,NA,1,1048.9
"2019.06.24_0300 bdlx_ax g",2019-06-24,"0300",1561360457,"big_cage","CH02_2019-06-24_03_07_46_03_16_08",2,"bridget",FALSE,"none","bdlx","ax","g",3,14,17,3,14,29,12,NA,0,0
"2019.06.24_0300 ax_bdlx g",2019-06-24,"0300",1561360458,"big_cage","CH02_2019-06-24_03_07_46_03_16_08",2,"bridget",FALSE,"none","ax","bdlx","g",3,14,18,3,14,29,11,NA,1,980.866666666667
"2019.06.24_0300 adldd_adld g",2019-06-24,"0300",1561361248,"big_cage","CH01_2019-06-24_03_24_57_03_33_19",1,"bridget",FALSE,"none","adldd","adld","g",3,27,28,3,28,53,85,NA,1,934.333333333333
"2019.06.24_0300 adld_adldd g",2019-06-24,"0300",1561361254,"big_cage","CH01_2019-06-24_03_24_57_03_33_19",1,"bridget",FALSE,"none","adld","adldd","g",3,27,34,3,28,53,79,NA,1,1068.71666666667
"2019.06.24_0300 clw_ax g",2019-06-24,"0300",1561362414,"big_cage","CH02_2019-06-24_03_41_15_03_49_37",2,"bridget",FALSE,"none","clw","ax","g",3,46,54,3,48,1,67,NA,1,953.766666666667
"2019.06.24_0300 ax_clw g",2019-06-24,"0300",1561362415,"big_cage","CH02_2019-06-24_03_41_15_03_49_37",2,"bridget",FALSE,"none","ax","clw","g",3,46,55,3,48,1,66,NA,1,32.6166666666667
"2019.06.24_0300 ax_clw g",2019-06-24,"0300",1561362487,"big_cage","CH02_2019-06-24_03_41_15_03_49_37",2,"bridget",FALSE,"none","ax","clw","g",3,48,7,3,48,16,9,NA,0,1.2
"2019.06.24_0500 clw_adld g",2019-06-24,"0500",1561366982,"big_cage","CH03_2019-06-24_04_59_59__05_06_53.mp4",3,"emma",FALSE,"none","clw","adld","g",5,3,2,5,3,21,19,"actor is cf, receiver is adld - IR",1,76.1333333333333
"2019.06.24_0500 adld_cfd g",2019-06-24,"0500",1561366982,"big_cage","CH03_2019-06-24_04_59_59__05_06_53.mp4",3,"emma",FALSE,"none","adld","cfd","g",5,3,2,5,3,21,19,"actor is adld, receiver is cfd - IR",1,95.4666666666667
"2019.06.24_0500 bes_bs g",2019-06-24,"0500",1561367126,"big_cage","CH03_2019-06-24_04_59_59__05_06_53.mp4",3,"emma",FALSE,"none","bes","bs","g",5,5,26,5,5,54,28,"actor bse, receiver bs - IR",1,117.133333333333
"2019.06.24_0500 bs_bes g",2019-06-24,"0500",1561367126,"big_cage","CH03_2019-06-24_04_59_59__05_06_53.mp4",3,"emma",FALSE,"none","bs","bes","g",5,5,26,5,5,54,28,"actor bs, receiver bse - IR",1,1171.88333333333
"2019.06.24_0500 bxdlx_bes g",2019-06-24,"0500",1561367701,"big_cage","CH01_2019-06-24_05_15_10__05_23_33.mp4",1,"emma",FALSE,"none","bxdlx","bes","g",5,15,1,5,15,6,5,"originally was 20190623, fixed to 20190624. actor is bddle, receiver is bse - IR",1,1438.15
"2019.06.24_0500 addld_bdlx g",2019-06-24,"0500",1561368081,"big_cage","CH03_2019-06-24_05_23_37__05_32_00.mp4",3,"emma",FALSE,"none","addld","bdlx","g",5,21,21,5,21,30,9,"specifically: ddld biting and pulling at bottom of le logger case; actor is adld, receiver is bdle (not actually grooming?) - IR",0,0
"2019.06.24_0500 addld_add g",2019-06-24,"0500",1561368091,"big_cage","CH03_2019-06-24_05_23_37__05_32_00.mp4",3,"emma",FALSE,"none","addld","add","g",5,21,31,5,22,20,49,NA,1,0.166666666666667
"2019.06.24_0500 add_addld g",2019-06-24,"0500",1561368091,"big_cage","CH03_2019-06-24_05_23_37__05_32_00.mp4",3,"emma",FALSE,"none","add","addld","g",5,21,31,5,22,20,49,NA,1,1046.7
"2019.06.24_0500 addld_ax g",2019-06-24,"0500",1561368144,"big_cage","CH03_2019-06-24_05_23_37__05_32_00.mp4",3,"emma",FALSE,"none","addld","ax","g",5,22,24,5,22,54,30,NA,1,0.883333333333333
"2019.06.24_0500 ax_addld g",2019-06-24,"0500",1561368144,"big_cage","CH03_2019-06-24_05_23_37__05_32_00.mp4",3,"emma",FALSE,"none","ax","addld","g",5,22,24,5,22,39,15,NA,1,95.4833333333333
"2019.06.24_0500 clw_add g",2019-06-24,"0500",1561368219,"big_cage","CH03_2019-06-24_05_23_37__05_32_00.mp4",3,"emma",FALSE,"none","clw","add","g",5,23,39,5,23,45,6,NA,1,20.6166666666667
"2019.06.24_0500 add_clw g",2019-06-24,"0500",1561368219,"big_cage","CH03_2019-06-24_05_23_37__05_32_00.mp4",3,"emma",FALSE,"none","add","clw","g",5,23,39,5,23,45,6,NA,1,2.13333333333333
"2019.06.24_0500 addldd_ax g",2019-06-24,"0500",1561368281,"big_cage","CH02_2019-06-24_05_23_06__05_31_28.mp4",2,"emma",FALSE,"none","addldd","ax","g",5,24,41,5,25,6,25,NA,0,1111.28333333333
"2019.06.24_0500 addldd_ax g",2019-06-24,"0500",1561368350,"big_cage","CH02_2019-06-24_05_23_06__05_31_28.mp4",2,"emma",FALSE,"none","addldd","ax","g",5,25,50,5,26,1,11,"ddld might have been grooming pup on d",0,1112.43333333333
"2019.06.24_0500 adld_ax g",2019-06-24,"0500",1561368591,"big_cage","CH02_2019-06-24_05_23_06__05_31_28.mp4",2,"emma",FALSE,"none","adld","ax","g",5,29,51,5,31,30,99,NA,1,26.8166666666667
"2019.06.24_0500 aldd_bxx g",2019-06-24,"0500",1561368645,"big_cage","CH02_2019-06-24_05_23_06__05_31_28.mp4",2,"emma",FALSE,"none","aldd","bxx","g",5,30,45,5,31,17,32,NA,1,1056.6
"2019.06.24_0500 clw_cnone g",2019-06-24,"0500",1561369020,"big_cage","CH01_2019-06-24_05_31_55__05_40_17.mp4",1,"emma",FALSE,"none","clw","cnone","g",5,37,0,5,37,50,50,NA,1,13.35
"2019.06.24_0500 cnone_clw g",2019-06-24,"0500",1561369022,"big_cage","CH01_2019-06-24_05_31_55__05_40_17.mp4",1,"emma",FALSE,"none","cnone","clw","g",5,37,2,5,37,52,50,NA,0,1461.56666666667
"2019.06.24_0500 cnone_clw g",2019-06-24,"0500",1561369114,"big_cage","CH01_2019-06-24_05_31_55__05_40_17.mp4",1,"emma",FALSE,"none","cnone","clw","g",5,38,34,5,39,35,61,NA,0,1463.1
"2019.06.24_0500 cnone_clw g",2019-06-24,"0500",1561369180,"big_cage","CH01_2019-06-24_05_31_55__05_40_17.mp4",1,"emma",FALSE,"none","cnone","clw","g",5,39,40,5,40,0,20,NA,0,1464.2
"2019.06.24_0500 clw_cnone g",2019-06-24,"0500",1561369185,"big_cage","CH01_2019-06-24_05_31_55__05_40_17.mp4",1,"emma",FALSE,"none","clw","cnone","g",5,39,45,5,40,0,15,NA,0,2.75
"2019.06.24_0500 add_cnone g",2019-06-24,"0500",1561369437,"big_cage","CH01_2019-06-24_05_40_17__05_48_39.mp4",1,"emma",FALSE,"none","add","cnone","g",5,43,57,5,44,17,20,"actor add, receiver clf - IR",1,20.3
"2019.06.24_0500 cnone_add g",2019-06-24,"0500",1561369437,"big_cage","CH01_2019-06-24_05_40_17__05_48_39.mp4",1,"emma",FALSE,"none","cnone","add","g",5,43,57,5,44,17,20,"actor clf, receiver add - IR",1,1468.48333333333
"2019.06.24_0500 bs_add g",2019-06-24,"0500",1561369615,"big_cage","CH03_2019-06-24_05_40_22__05_48_44.mp4",3,"emma",FALSE,"none","bs","add","g",5,46,55,5,47,30,35,"actor and receiver correct - IR",1,41.4833333333333
"2019.06.24_0500 add_bs g",2019-06-24,"0500",1561369616,"big_cage","CH03_2019-06-24_05_40_22__05_48_44.mp4",3,"emma",FALSE,"none","add","bs","g",5,46,56,5,47,34,38,"actor and receiver correct - IR",1,2.98333333333333
"2019.06.24_0500 bs_add g",2019-06-24,"0500",1561369659,"big_cage","CH03_2019-06-24_05_40_22__05_48_44.mp4",3,"emma",FALSE,"none","bs","add","g",5,47,39,5,48,18,39,"actor and receiver correct - IR",0,0.733333333333333
"2019.06.24_0500 add_bs g",2019-06-24,"0500",1561369659,"big_cage","CH03_2019-06-24_05_40_22__05_48_44.mp4",3,"emma",FALSE,"none","add","bs","g",5,47,39,5,48,20,41,"actor and receiver correct - IR",0,0.716666666666667
"2019.06.24_0500 cwd_adld g",2019-06-24,"0500",1561369713,"big_cage","CH02_2019-06-24_05_48_13__05_56_35.mp4",2,"emma",FALSE,"none","cwd","adld","g",5,48,33,5,52,29,236,"ldd in front of screen starting 05:50:10, harder to see behind her for exact end times. maybe unseen breaks?",0,0
"2019.06.24_0500 adld_cwd g",2019-06-24,"0500",1561369714,"big_cage","CH02_2019-06-24_05_48_13__05_56_35.mp4",2,"emma",FALSE,"none","adld","cwd","g",5,48,34,5,52,29,235,NA,1,18.7166666666667
"2019.06.24_0500 adld_addld g",2019-06-24,"0500",1561370001,"big_cage","CH02_2019-06-24_05_48_13__05_56_35.mp4",2,"emma",FALSE,"none","adld","addld","g",5,53,21,5,53,33,12,"actor is adld, receiver is addld - IR",1,4.78333333333333
"2019.06.24_0500 addld_adld g",2019-06-24,"0500",1561370003,"big_cage","CH02_2019-06-24_05_48_13__05_56_35.mp4",2,"emma",FALSE,"none","addld","adld","g",5,53,23,5,53,33,10,"actors is addld, receiver is adld - IR",1,30.9833333333333
"2019.06.24_0500 bs_clw g",2019-06-24,"0500",1561370080,"big_cage","CH02_2019-06-24_05_48_13__05_56_35.mp4",2,"emma",FALSE,"none","bs","clw","g",5,54,40,5,55,38,58,NA,1,7.75
"2019.06.24_0900 bdlx_clw g",2019-06-24,"0900",1561382966,"big_cage","CH01_2019-06-24_09_29_07__09_37_29.mp4",1,"imran",TRUE,"ax, bey, cdw","bdlx","clw","g",9,29,26,9,30,2,36,NA,1,375.15
"2019.06.24_0900 clw_bdlx g",2019-06-24,"0900",1561382967,"big_cage","CH01_2019-06-24_09_29_07__09_37_29.mp4",1,"imran",TRUE,"ax, bey, cdw","clw","bdlx","g",9,29,27,9,30,2,35,NA,1,232.45
